Rk,G,2020 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-08-18,EC1,MIA,@,IND,1,W (+12),1,23:54,2,8,0.25,2,8,0.25,0,1,0,0,3,3,1,1,0,1,3,6,1.2,0
2,2,2020-08-20,EC1,MIA,@,IND,2,W (+9),1,25:19:00,7,8,0.875,7,8,0.875,3,3,1,0,2,2,2,1,0,2,2,24,21.4,+9
3,3,2020-08-22,EC1,MIA,,IND,3,W (+9),1,27:21:00,4,7,0.571,2,4,0.5,5,6,0.833,0,2,2,1,0,1,1,5,15,10.3,+10
4,4,2020-08-24,EC1,MIA,,IND,4,W (+12),1,24:00:00,2,9,0.222,1,7,0.143,0,0,,1,4,5,1,0,0,1,1,5,0.7,-4
5,5,2020-08-31,ECS,MIA,@,MIL,1,W (+11),1,26:17:00,1,4,0.25,1,4,0.25,1,1,1,0,1,1,3,0,0,0,4,4,2.4,+6
6,6,2020-09-02,ECS,MIA,@,MIL,2,W (+2),1,26:37:00,4,9,0.444,3,8,0.375,2,3,0.667,0,3,3,0,2,0,2,2,13,8,+1
7,7,2020-09-04,ECS,MIA,,MIL,3,W (+15),1,30:05:00,2,8,0.25,2,8,0.25,0,0,,0,4,4,2,0,1,2,1,6,2.1,-7
8,8,2020-09-06,ECS,MIA,,MIL,4,L (-3),1,39:14:00,7,13,0.538,6,12,0.5,0,0,,0,5,5,3,1,0,1,3,20,16.1,+6
9,9,2020-09-08,ECS,MIA,@,MIL,5,W (+9),1,13:54,1,3,0.333,0,2,0,0,0,,0,1,1,0,0,0,1,4,2,-2,-13
10,10,2020-09-15,ECF,MIA,@,BOS,1,W (+3),1,17:01,2,7,0.286,2,7,0.286,0,0,,0,2,2,1,1,0,0,4,6,2.6,+2
11,11,2020-09-17,ECF,MIA,@,BOS,2,W (+5),1,32:16:00,6,12,0.5,6,12,0.5,0,0,,0,2,2,4,0,1,0,1,18,15.7,+7
12,12,2020-09-19,ECF,MIA,,BOS,3,L (-11),1,27:48:00,4,8,0.5,4,8,0.5,1,2,0.5,1,0,1,2,0,1,0,5,13,9.4,+1
13,13,2020-09-23,ECF,MIA,,BOS,4,W (+3),1,23:20,0,5,0,0,4,0,3,3,1,1,2,3,2,1,0,0,4,3,1.6,+2
14,14,2020-09-25,ECF,MIA,@,BOS,5,L (-13),1,37:01:00,7,15,0.467,3,11,0.273,3,4,0.75,0,2,2,0,1,0,0,4,20,11.9,-13
15,15,2020-09-27,ECF,MIA,,BOS,6,W (+12),1,33:50:00,5,8,0.625,5,7,0.714,0,0,,1,5,6,1,1,0,1,1,15,13.9,+24
16,16,2020-09-30,FIN,MIA,@,LAL,1,L (-18),1,27:03:00,0,3,0,0,3,0,0,0,,0,4,4,0,0,0,0,2,0,-1.7,-8
17,17,2020-10-02,FIN,MIA,@,LAL,2,L (-10),1,21:57,2,7,0.286,2,7,0.286,3,3,1,0,0,0,4,1,0,0,4,9,7.1,-21
18,18,2020-10-04,FIN,MIA,,LAL,3,W (+11),1,39:18:00,4,12,0.333,3,10,0.3,2,2,1,0,5,5,3,2,1,0,4,13,10.9,+27
19,19,2020-10-06,FIN,MIA,,LAL,4,L (-6),1,32:43:00,4,7,0.571,3,6,0.5,6,6,1,0,1,1,3,1,1,1,5,17,14.8,+5
20,20,2020-10-09,FIN,MIA,@,LAL,5,W (+3),1,37:03:00,8,15,0.533,7,13,0.538,3,3,1,1,4,5,2,1,0,1,3,26,20.8,+7
21,21,2020-10-11,FIN,MIA,,LAL,6,L (-13),1,34:11:00,3,8,0.375,3,7,0.429,1,1,1,0,1,1,3,0,0,2,3,10,4.8,-16
22,1,2021-05-22,EC1,MIA,@,MIL,1,L (-2),1,36:05:00,7,13,0.538,7,13,0.538,3,3,1,0,2,2,2,0,0,2,3,24,16.5,+2
23,2,2021-05-24,EC1,MIA,@,MIL,2,L (-34),1,23:26,2,6,0.333,2,6,0.333,4,5,0.8,0,4,4,1,1,0,0,1,10,8.7,-24
24,3,2021-05-27,EC1,MIA,,MIL,3,L (-29),1,24:19:00,1,6,0.167,0,4,0,0,0,,0,3,3,0,1,0,1,5,2,-2.9,-13
25,4,2021-05-29,EC1,MIA,,MIL,4,L (-17),1,15:47,1,4,0.25,1,4,0.25,2,2,1,0,2,2,0,1,0,1,4,5,1.6,+1
26,1,2022-04-17,EC1,MIA,,ATL,1,W (+24),0,22:51,9,10,0.9,8,9,0.889,1,1,1,0,1,1,0,0,0,0,2,27,23.1,+16
27,2,2022-04-19,EC1,MIA,,ATL,2,W (+10),0,6:40,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,+1
28,3,2022-04-22,EC1,MIA,@,ATL,3,L (-1),0,14:23,1,4,0.25,1,4,0.25,3,3,1,0,2,2,0,0,0,2,4,6,0.6,-8
29,4,2022-04-24,EC1,MIA,@,ATL,4,W (+24),0,9:21,1,1,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,3,2.6,-10
30,5,2022-04-26,EC1,MIA,,ATL,5,W (+3),0,12:30,0,5,0,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,-3.5,-1
31,,2022-05-02,,MIA,,PHI,,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,6,2022-05-04,ECS,MIA,,PHI,2,W (+16),0,0:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3
33,,2022-05-06,,MIA,@,PHI,,L (-20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,,2022-05-08,,MIA,@,PHI,,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,7,2022-05-10,ECS,MIA,,PHI,5,W (+35),0,13:30,1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,1,0,0,1,1,4,1.8,+5
36,8,2022-05-12,ECS,MIA,@,PHI,6,W (+9),0,3:53,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
37,,2022-05-17,,MIA,,BOS,,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,9,2022-05-19,ECF,MIA,,BOS,2,L (-25),0,14:20,3,7,0.429,0,4,0,0,0,,0,5,5,3,1,1,0,0,6,7.6,-6
39,10,2022-05-21,ECF,MIA,@,BOS,3,W (+6),0,4:16,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,2,2,0.5,+2
40,11,2022-05-23,ECF,MIA,@,BOS,4,L (-20),0,23:20,5,11,0.455,4,8,0.5,0,0,,0,4,4,0,2,0,0,3,14,10.3,+9
41,12,2022-05-25,ECF,MIA,,BOS,5,L (-13),0,27:58:00,4,12,0.333,3,10,0.3,0,0,,2,2,4,1,1,0,0,4,11,6.3,+3
42,13,2022-05-27,ECF,MIA,@,BOS,6,W (+8),0,5:23,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-6
43,,2022-05-29,,MIA,,BOS,,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,1,2023-04-16,EC1,MIA,@,MIL,1,W (+13),0,6:26,1,2,0.5,1,1,1,0,0,,0,1,1,0,0,0,0,0,3,2.3,-5
45,2,2023-04-19,EC1,MIA,@,MIL,2,L (-16),1,25:36:00,5,8,0.625,4,6,0.667,0,0,,0,5,5,3,0,0,2,2,14,11.2,+10
46,3,2023-04-22,EC1,MIA,,MIL,3,W (+22),0,23:33,7,9,0.778,5,6,0.833,1,1,1,0,3,3,2,0,0,2,0,20,16.8,+24
47,4,2023-04-24,EC1,MIA,,MIL,4,W (+5),0,30:19:00,3,5,0.6,3,4,0.75,0,0,,0,4,4,1,1,0,1,1,9,8.2,+15
48,5,2023-04-26,EC1,MIA,@,MIL,5,W (+2),0,15:03,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,1,1,3,1.6,+3